City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,dali,25.7,100.1833,17.470000000000027,77,1,0.85,CN,1723579955
293,loikaw,19.6742,97.2094,20.30000000000001,99,100,1.08,MM,1723579956
294,kodiak,57.79,-152.4072,16.730000000000018,48,0,5.14,US,1723579958
295,ankazoabo,-22.2833,44.5167,19.090000000000032,37,0,1.92,MG,1723579959
296,maraba,-5.3686,-49.1178,35.10000000000002,49,20,2.06,BR,1723579960
297,kialla,-36.4161,145.3954,10.330000000000041,92,99,3.37,AU,1723579961
298,iida,35.5197,137.8207,23.910000000000025,100,96,0.89,JP,1723579962
299,hithadhoo,-0.6,73.0833,28.27000000000004,75,100,8.01,MV,1723579964
300,lihue,21.9789,-159.3672,28.77000000000004,72,40,8.75,US,1723579965
301,villa gesell,-37.2639,-56.973,13.610000000000014,55,29,8.54,AR,1723579966
302,lautoka,-17.6167,177.4667,21.920000000000016,60,40,4.12,FJ,1723579967
303,pagar alam,-4.0167,103.2667,19.28000000000003,86,97,0.81,ID,1723579969
304,baganga,7.5739,126.56,24.810000000000002,87,0,2.08,PH,1723579970
305,bac lieu,9.285,105.7244,26.720000000000027,88,56,3.24,VN,1723579971
306,kulhudhuffushi,6.6221,73.07,25.360000000000014,90,100,11.7,MV,1723579972
307,kapa'a,22.0752,-159.319,29.180000000000007,69,40,8.75,US,1723579973
308,lorengau,-2.0226,147.2712,26.78000000000003,84,100,3.45,PG,1723579975
309,portland,45.5234,-122.6762,20.52000000000004,60,100,3.09,US,1723579426
310,baharly,38.4362,57.4316,31.900000000000034,46,4,0.99,TM,1723579977
311,afif,23.9065,42.9172,33.69,14,17,5.47,SA,1723579978
312,zahedan,29.4963,60.8629,26.950000000000045,17,0,4.12,IR,1723579979
313,jaisalmer,26.9147,70.9181,31.510000000000048,62,100,7.06,IN,1723579981
314,forster,-32.1667,152.5167,15.770000000000039,100,100,4.61,AU,1723579982
315,pisco,-13.7,-76.2167,18.03000000000003,72,0,4.63,PE,1723579983
316,san juan,-31.5375,-68.5364,21.629999999999995,13,0,2.3,AR,1723579984
317,umm kaddadah,13.6017,26.6876,29.660000000000025,50,100,7.3,SD,1723579986
318,puerto deseado,-47.7503,-65.8938,7.970000000000027,52,0,2.47,AR,1723579987
319,woodward,36.4337,-99.3904,39.420000000000016,32,0,5.66,US,1723579988
320,san rafael del sur,11.8485,-86.4384,32.54000000000002,59,99,1.35,NI,1723579989
321,vilyuchinsk,52.9306,158.4028,12.150000000000034,84,2,3.23,RU,1723579990
322,grand falls-windsor,48.9332,-55.6649,13.060000000000002,81,100,2.24,CA,1723579992
323,mazamari,-11.3258,-74.5308,30.0,41,70,0.33,PE,1723579993
324,uturoa,-16.7333,-151.4333,24.57000000000005,76,71,5.49,PF,1723579994
325,altay,47.8667,88.1167,15.920000000000016,44,95,2.07,CN,1723579997
326,ilebo,-4.3167,20.5833,27.27000000000004,50,96,1.28,CD,1723579998
327,flying fish cove,-10.4217,105.6791,24.82000000000005,88,100,4.63,CX,1723579999
328,kourou,5.1552,-52.6478,31.03000000000003,60,15,3.95,GF,1723580000
329,santa cruz,-17.8,-63.1667,26.700000000000045,22,93,4.12,BO,1723580001
330,usinsk,65.9939,57.5281,10.050000000000011,92,15,6.07,RU,1723580003
